Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,65,AC3 Suppressor,★★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,14,PEQ-5,★★★
2021-10-06 21:45:47,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,3,PSO-1,★★★★
2021-10-06 21:52:20,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,ARMORPLATE,42,Type 1 Armor Plate,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,OPTICAL,4,VFL 6-24X56,★★★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,REDDOT,11,COG M150,★★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,SUPPRESSOR,64,AC2 Suppressor,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,FAIRY,24,Barrier Fairy,★
2021-10-07 15:08:26,EQUIP,HEAVY-1,500/500/500/500,XEXO,56,IOP X2 Exoskeleton,★★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,9,P38,★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,212,K5,★★★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,90,FF FNP9,★★
2021-10-07 19:15:16,GUN,NORMAL,130/130/130/30,HG,7,Stechkin,★★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,88,Camouflage Cape,★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-10-07 19:15:39,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
