event_id,datetime,prize_id,prize
318,2022-01-27 20:33:25,920,Pure Sample
318,2022-01-27 20:33:25,816,Enhancement Capsule*2
318,2022-01-27 20:33:25,813,Token*2
318,2022-01-27 20:33:25,878,Memory Fragment*10
318,2022-01-27 20:33:25,820,Dummy Core*2
318,2022-01-27 20:33:25,831,Intermediate Training Data*30
318,2022-01-27 20:33:25,822,T-Doll Contract*1
318,2022-01-27 20:33:25,810,Parts*100
318,2022-01-27 20:33:25,920,Pure Sample
318,2022-01-27 20:33:27,807,Rations*100
318,2022-01-27 20:33:27,827,Basic Training Data*20
318,2022-01-27 20:33:27,879,Memory Fragment*20
318,2022-01-27 20:33:27,801,Manpower*100
318,2022-01-27 20:33:27,830,Intermediate Training Data*20
318,2022-01-27 20:33:27,827,Basic Training Data*20
318,2022-01-27 20:33:27,801,Manpower*100
318,2022-01-27 20:33:27,810,Parts*100
318,2022-01-27 20:33:27,816,Enhancement Capsule*2
318,2022-01-27 20:33:27,834,Advanced Training Data*30
318,2022-01-27 20:33:29,40155,prize-10040155
318,2022-01-27 20:33:29,807,Rations*100
318,2022-01-27 20:33:29,811,Parts*200
318,2022-01-27 20:33:29,810,Parts*100
318,2022-01-27 20:33:29,810,Parts*100
318,2022-01-27 20:33:29,804,Ammo*100
318,2022-01-27 20:33:29,802,Manpower*200
318,2022-01-27 20:33:29,806,Ammo*300
318,2022-01-27 20:33:29,801,Manpower*100
318,2022-01-27 20:33:29,811,Parts*200
318,2022-01-27 20:33:30,811,Parts*200
318,2022-01-27 20:33:30,839,Battery*20
318,2022-01-27 20:33:30,830,Intermediate Training Data*20
318,2022-01-27 20:33:30,816,Enhancement Capsule*2
318,2022-01-27 20:33:30,810,Parts*100
318,2022-01-27 20:33:30,822,T-Doll Contract*1
318,2022-01-27 20:33:30,811,Parts*200
318,2022-01-27 20:33:30,807,Rations*100
318,2022-01-27 20:33:30,878,Memory Fragment*10
318,2022-01-27 20:33:30,816,Enhancement Capsule*2
318,2022-02-04 19:40:31,822,T-Doll Contract*1
318,2022-02-04 19:40:31,828,Basic Training Data*30
318,2022-02-04 19:40:31,836,Calibration Ticket*10
318,2022-02-04 19:40:31,878,Memory Fragment*10
318,2022-02-04 19:40:31,834,Advanced Training Data*30
318,2022-02-04 19:40:31,811,Parts*200
318,2022-02-04 19:40:31,801,Manpower*100
318,2022-02-04 19:40:31,811,Parts*200
318,2022-02-04 19:40:31,834,Advanced Training Data*30
318,2022-02-04 19:40:31,40287,prize-10040287
318,2022-02-04 19:40:32,810,Parts*100
318,2022-02-04 19:40:32,802,Manpower*200
318,2022-02-04 19:40:32,811,Parts*200
318,2022-02-04 19:40:32,879,Memory Fragment*20
318,2022-02-04 19:40:32,828,Basic Training Data*30
318,2022-02-04 19:40:32,40155,prize-10040155
318,2022-02-04 19:40:32,811,Parts*200
318,2022-02-04 19:40:32,830,Intermediate Training Data*20
318,2022-02-04 19:40:32,878,Memory Fragment*10
318,2022-02-04 19:40:32,827,Basic Training Data*20
318,2022-02-04 19:40:33,822,T-Doll Contract*1
318,2022-02-04 19:40:33,819,Dummy Core*1
318,2022-02-04 19:40:33,836,Calibration Ticket*10
318,2022-02-04 19:40:33,919,Original Sample
318,2022-02-04 19:40:33,810,Parts*100
318,2022-02-04 19:40:33,810,Parts*100
318,2022-02-04 19:40:33,40288,prize-10040288
318,2022-02-04 19:40:33,825,Quick Repair*1
318,2022-02-04 19:40:33,828,Basic Training Data*30
318,2022-02-04 19:40:33,921,Quick Analysis Contract
318,2022-02-04 19:40:34,825,Quick Repair*1
318,2022-02-04 19:40:34,920,Pure Sample
318,2022-02-04 19:40:34,801,Manpower*100
318,2022-02-04 19:40:34,801,Manpower*100
318,2022-02-04 19:40:34,828,Basic Training Data*30
318,2022-02-04 19:40:34,802,Manpower*200
318,2022-02-04 19:40:34,824,Quick Production*1
318,2022-02-04 19:40:34,805,Ammo*200
318,2022-02-04 19:40:34,811,Parts*200
318,2022-02-04 19:40:34,802,Manpower*200
318,2022-02-04 19:40:35,819,Dummy Core*1
318,2022-02-04 19:40:35,802,Manpower*200
318,2022-02-04 19:40:35,807,Rations*100
318,2022-02-04 19:40:35,920,Pure Sample
318,2022-02-04 19:40:35,40154,prize-10040154
318,2022-02-04 19:40:35,830,Intermediate Training Data*20
318,2022-02-04 19:40:35,810,Parts*100
318,2022-02-04 19:40:35,825,Quick Repair*1
318,2022-02-04 19:40:35,810,Parts*100
318,2022-02-04 19:40:35,804,Ammo*100
318,2022-02-04 19:40:36,919,Original Sample
318,2022-02-04 19:40:36,803,Manpower*300
318,2022-02-04 19:40:36,839,Battery*20
318,2022-02-04 19:40:36,816,Enhancement Capsule*2
318,2022-02-04 19:40:36,801,Manpower*100
318,2022-02-04 19:40:36,810,Parts*100
318,2022-02-04 19:40:36,802,Manpower*200
318,2022-02-04 19:40:36,810,Parts*100
318,2022-02-04 19:40:36,810,Parts*100
318,2022-02-04 19:40:36,920,Pure Sample
318,2022-02-04 19:40:37,920,Pure Sample
318,2022-02-04 19:40:37,839,Battery*20
318,2022-02-04 19:40:37,804,Ammo*100
318,2022-02-04 19:40:37,823,Equipment Contract*1
318,2022-02-04 19:40:37,801,Manpower*100
318,2022-02-04 19:40:37,805,Ammo*200
318,2022-02-04 19:40:37,804,Ammo*100
318,2022-02-04 19:40:37,834,Advanced Training Data*30
318,2022-02-04 19:40:37,810,Parts*100
318,2022-02-04 19:40:37,807,Rations*100
318,2022-02-05 20:27:38,804,Ammo*100
318,2022-02-05 20:27:38,831,Intermediate Training Data*30
318,2022-02-05 20:27:38,830,Intermediate Training Data*20
318,2022-02-05 20:27:38,808,Rations*200
318,2022-02-05 20:27:38,823,Equipment Contract*1
318,2022-02-05 20:27:38,810,Parts*100
318,2022-02-05 20:27:38,837,Calibration Ticket*20
318,2022-02-05 20:27:38,825,Quick Repair*1
318,2022-02-05 20:27:38,816,Enhancement Capsule*2
318,2022-02-05 20:27:38,825,Quick Repair*1
318,2022-02-05 20:27:39,808,Rations*200
318,2022-02-05 20:27:39,808,Rations*200
318,2022-02-05 20:27:39,825,Quick Repair*1
318,2022-02-05 20:27:39,811,Parts*200
318,2022-02-05 20:27:39,805,Ammo*200
318,2022-02-05 20:27:39,808,Rations*200
318,2022-02-05 20:27:39,828,Basic Training Data*30
318,2022-02-05 20:27:39,839,Battery*20
318,2022-02-05 20:27:39,807,Rations*100
318,2022-02-05 20:27:39,818,Enhancement Capsule*4
318,2022-02-05 20:27:39,836,Calibration Ticket*10
318,2022-02-05 20:27:39,878,Memory Fragment*10
318,2022-02-05 20:27:39,828,Basic Training Data*30
318,2022-02-05 20:27:39,818,Enhancement Capsule*4
318,2022-02-05 20:27:39,818,Enhancement Capsule*4
318,2022-02-05 20:27:39,810,Parts*100
318,2022-02-05 20:27:39,834,Advanced Training Data*30
318,2022-02-05 20:27:39,816,Enhancement Capsule*2
318,2022-02-05 20:27:39,805,Ammo*200
318,2022-02-05 20:27:39,818,Enhancement Capsule*4
318,2022-02-05 20:27:40,805,Ammo*200
318,2022-02-05 20:27:40,827,Basic Training Data*20
318,2022-02-05 20:27:40,827,Basic Training Data*20
318,2022-02-05 20:27:40,809,Rations*300
318,2022-02-05 20:27:40,827,Basic Training Data*20
318,2022-02-05 20:27:40,807,Rations*100
318,2022-02-05 20:27:40,810,Parts*100
318,2022-02-05 20:27:40,835,Advanced Training Data*40
318,2022-02-05 20:27:40,827,Basic Training Data*20
318,2022-02-05 20:27:40,817,Enhancement Capsule*3
318,2022-02-05 20:27:42,920,Pure Sample
318,2022-02-05 20:27:42,837,Calibration Ticket*20
318,2022-02-05 20:27:42,815,Token*4
318,2022-02-05 20:27:42,804,Ammo*100
318,2022-02-05 20:27:42,811,Parts*200
318,2022-02-05 20:27:42,802,Manpower*200
318,2022-02-05 20:27:42,825,Quick Repair*1
318,2022-02-05 20:27:42,40285,prize-10040285
318,2022-02-05 20:27:42,804,Ammo*100
318,2022-02-05 20:27:42,878,Memory Fragment*10
318,2022-02-05 20:27:43,919,Original Sample
318,2022-02-05 20:27:43,824,Quick Production*1
318,2022-02-05 20:27:43,810,Parts*100
318,2022-02-05 20:27:43,829,Basic Training Data*40
318,2022-02-05 20:27:43,816,Enhancement Capsule*2
318,2022-02-05 20:27:43,801,Manpower*100
318,2022-02-05 20:27:43,801,Manpower*100
318,2022-02-05 20:27:43,816,Enhancement Capsule*2
318,2022-02-05 20:27:43,805,Ammo*200
318,2022-02-05 20:27:43,805,Ammo*200
318,2022-02-05 20:27:44,817,Enhancement Capsule*3
318,2022-02-05 20:27:44,807,Rations*100
318,2022-02-05 20:27:44,807,Rations*100
318,2022-02-05 20:27:44,919,Original Sample
318,2022-02-05 20:27:44,801,Manpower*100
318,2022-02-05 20:27:44,810,Parts*100
318,2022-02-05 20:27:44,810,Parts*100
318,2022-02-05 20:27:44,829,Basic Training Data*40
318,2022-02-05 20:27:44,878,Memory Fragment*10
318,2022-02-05 20:27:44,839,Battery*20
318,2022-02-05 20:27:45,839,Battery*20
318,2022-02-05 20:27:45,805,Ammo*200
318,2022-02-05 20:27:45,808,Rations*200
318,2022-02-05 20:27:45,841,Battery*40
318,2022-02-05 20:27:45,829,Basic Training Data*40
318,2022-02-05 20:27:45,801,Manpower*100
318,2022-02-05 20:27:45,40286,prize-10040286
318,2022-02-05 20:27:45,817,Enhancement Capsule*3
318,2022-02-05 20:27:45,837,Calibration Ticket*20
318,2022-02-05 20:27:45,806,Ammo*300
